Setup title,"Diode IV Rev"
Application test name,"Diode IV Rev"
Test date,10/17/2019
Test time,14:29:22
Device ID,
Count,1
Flags,
Remarks,
Name,Anode,Cathode,VanodeStart,VanodeStop,VanodeStep,Vcathode,IanodeLimit,IntegTime,HoldTime,DelayTime,AnodeMinRng
Value,"SMU3:MP	MPSMU","SMU4:MP	MPSMU",0,-10,-0.1,0,-1E-05,LONG,0,0,1nA
Name,Temp
Value,25
Vanode,Ianode
0,-1.911E-11
-0.1,-2.7473E-09
-0.2,-3.33054E-09
-0.3,-3.68945E-09
-0.4,-3.97093E-09
-0.5,-4.20743E-09
-0.6,-4.41005E-09
-0.7,-4.58319E-09
-0.8,-4.73177E-09
-0.9,-4.87191E-09
-1,-4.9931E-09
-1.1,-5.10409E-09
-1.2,-5.20473E-09
-1.3,-5.30245E-09
-1.4,-5.39201E-09
-1.5,-5.47425E-09
-1.6,-5.55179E-09
-1.7,-5.62386E-09
-1.8,-5.69415E-09
-1.9,-5.76188E-09
-2,-5.82539E-09
-2.1,-5.88592E-09
-2.2,-5.94283E-09
-2.3,-5.99789E-09
-2.4,-6.05217E-09
-2.5,-6.10125E-09
-2.6,-6.1491E-09
-2.7,-6.19535E-09
-2.8,-6.24483E-09
-2.9,-6.28951E-09
-3,-6.33171E-09
-3.1,-6.37322E-09
-3.2,-6.41399E-09
-3.3,-6.45224E-09
-3.4,-6.49129E-09
-3.5,-6.52777E-09
-3.6,-6.56342E-09
-3.7,-6.59837E-09
-3.8,-6.63271E-09
-3.9,-6.66577E-09
-4,-6.70011E-09
-4.1,-6.7334E-09
-4.2,-6.76591E-09
-4.3,-6.79722E-09
-4.4,-6.8281E-09
-4.5,-6.85909E-09
-4.6,-6.88966E-09
-4.7,-6.91942E-09
-4.8,-6.94662E-09
-4.9,-6.97347E-09
-5,-6.99939E-09
-5.1,-7.02468E-09
-5.2,-7.05099E-09
-5.3,-7.07672E-09
-5.4,-7.10097E-09
-5.5,-7.12446E-09
-5.6,-7.14839E-09
-5.7,-7.17165E-09
-5.8,-7.19387E-09
-5.9,-7.21565E-09
-6,-7.23772E-09
-6.1,-7.26063E-09
-6.2,-7.2832E-09
-6.3,-7.30483E-09
-6.4,-7.32682E-09
-6.5,-7.34734E-09
-6.6,-7.36751E-09
-6.7,-7.38736E-09
-6.8,-7.40626E-09
-6.9,-7.42502E-09
-7,-7.44411E-09
-7.1,-7.46264E-09
-7.2,-7.48088E-09
-7.3,-7.49852E-09
-7.4,-7.51665E-09
-7.5,-7.53492E-09
-7.6,-7.55293E-09
-7.7,-7.57097E-09
-7.8,-7.58892E-09
-7.9,-7.60616E-09
-8,-7.62459E-09
-8.1,-7.64303E-09
-8.2,-7.66051E-09
-8.3,-7.67895E-09
-8.4,-7.69673E-09
-8.5,-7.71382E-09
-8.6,-7.73071E-09
-8.7,-7.74684E-09
-8.8,-7.76261E-09
-8.9,-7.77876E-09
-9,-7.79438E-09
-9.1,-7.81009E-09
-9.2,-7.82527E-09
-9.3,-7.84034E-09
-9.4,-7.85606E-09
-9.5,-7.87118E-09
-9.6,-7.88679E-09
-9.7,-7.90093E-09
-9.8,-7.91498E-09
-9.9,-7.92889E-09
-10,-7.9428E-09
